"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"84","2320","02419022","2320R","Mohegan","Mohegan Reservation","86","D8","R","F","G2101","A",1742811,0,"+41.4900993","-072.0939433"
"85","9100","01930930","9100R","Golden Hill Paugussett","Golden Hill Paugussett (state) Reservation","86","D4","R","S","G2101","A",399343,0,"+41.5521875","-072.2680204"
"86","4708","00027214","4708R","Yavapai-Apache Nation","Yavapai-Apache Nation Reservation","86","D2","R","F","G2101","A",2631855,0,"+34.6194568","-111.8957237"
"87","2495","02419036","2495R","North Fork","North Fork Rancheria","85","D8","R","F","G2101","A",267979,0,"+37.2275008","-119.5135276"
"88","2775","01670201","2775R","Picayune","Picayune Rancheria","85","D8","R","F","G2101","A",280520,0,"+37.2120166","-119.6955500"
"89","0165","00838653","0165R","Battle Mountain","Battle Mountain Reservation","86","D2","R","F","G2101","A",2727590,0,"+40.6642470","-116.9698555"
"90","0975","00845441","0975R","Duckwater","Duckwater Reservation","86","D2","R","F","G2101","A",16137153,57666,"+38.9270553","-115.7088195"
"91","4740","00862119","4740R","Yomba","Yomba Reservation","86","D2","R","F","G2101","A",18911930,11308,"+38.9081593","-117.4908040"
"92","0120","00218454","0120R","Auburn","Auburn Rancheria","85","D8","R","F","G2101","A",279781,0,"+38.8403521","-121.3148206"
"93","4690","01502906","4690R","Yakama Nation","Yakama Nation Reservation","86","D8","R","F","G2101","A",5577438886,4239523,"+46.2684855","-120.7496249"
"94","2130","00023997","2130R","Maricopa (Ak Chin)","Maricopa (Ak Chin) Indian Reservation","96","D2","R","F","G2101","A",84900623,0,"+33.0078694","-112.0419010"
"95","1210","00859740","1210R","Fort McDermitt","Fort McDermitt Indian Reservation","96","D2","R","F","G2101","A",140875042,0,"+41.9557421","-117.6584179"
"96","3885","01577206","3885R","Sokaogon Chippewa","Sokaogon Chippewa Community","82","D8","R","F","G2101","A",7625891,888166,"+45.4911851","-088.9900954"
"97","3565","01884912","3565R","Santee","Santee Reservation","86","D2","R","F","G2101","A",447827821,30051352,"+42.7107093","-097.8218369"
"98","3980","02419480","3980R","Stewart","Stewart Community","82","D2","R","F","G2101","A",11447757,6001,"+39.0617686","-119.8100925"
"99","2015","00850417","2015R","Lovelock","Lovelock Indian Colony","98","D2","R","F","G2101","A",83594,0,"+40.1739001","-118.4832107"
